t,cls,x,y,w,h,s_pinhole_m,s_depth_m,abs_diff_m,s_stereo_m,ego_v_mps,mu,sigma_depth
6.139999999999957,stop sign,620,229,39,37,9.729729729729733,16.634584426879883,6.904854697150149,16.5227108001709,2.3695916935960364,0.2,0.1682190658366112
6.159999999999957,stop sign,620,229,38,37,9.729729729729733,16.588510513305664,6.858780783575931,16.58880043029785,2.3569270078739093,0.2,0.1471486916840871
6.179999999999956,stop sign,621,229,39,37,9.729729729729733,16.54157257080078,6.811842841071048,16.58880043029785,2.3441997161902934,0.2,0.16156232620185215
6.199999999999956,stop sign,621,229,40,37,9.729729729729733,16.495201110839844,6.76547138111011,16.457143783569336,2.331631056693589,0.2,0.1716518703642877
6.219999999999955,stop sign,621,228,40,37,9.729729729729733,16.449871063232422,6.7201413335026885,16.5227108001709,2.319251651496871,0.2,0.14931920567953333
6.239999999999955,stop sign,622,228,41,37,9.729729729729733,16.403974533081055,6.674244803351321,16.327560424804688,2.306869751828868,0.2,0.13391878957413259
6.2599999999999545,stop sign,622,228,41,38,9.473684210526319,16.358646392822266,6.884962182295947,16.327560424804688,2.2945391648267885,0.2,0.12244709187153811
6.279999999999954,stop sign,622,228,40,38,9.473684210526319,16.313703536987305,6.840019326460986,16.3920955657959,2.282515459087057,0.2,0.11419209189596459
6.299999999999954,stop sign,623,228,40,38,9.473684210526319,16.26849365234375,6.794809441817431,16.263530731201172,2.27034951980609,0.2,0.10863840349682052
6.319999999999953,stop sign,623,228,40,38,9.473684210526319,16.224029541015625,6.750345330489306,16.200000762939453,2.2585714716176493,0.2,0.10430374207812067
6.339999999999953,stop sign,623,228,40,37,9.729729729729733,16.179950714111328,6.450220984381595,16.200000762939453,2.246618469191215,0.2,0.10104975475770495
6.359999999999952,stop sign,624,228,40,38,9.473684210526319,16.135276794433594,6.661592583907275,16.200000762939453,2.234840561325298,0.2,0.09877196363341394
6.379999999999952,stop sign,624,228,41,38,9.473684210526319,16.091527938842773,6.617843728316455,16.074419021606445,2.223122378709097,0.2,0.09717750984641023
6.3999999999999515,stop sign,625,227,41,38,9.473684210526319,16.047805786132812,6.574121575606494,16.074419021606445,2.2112710965487077,0.2,0.12302069968728696
6.419999999999951,stop sign,625,227,40,38,9.473684210526319,16.004444122314453,6.5307599117881345,16.01235580444336,2.199485593701304,0.2,0.11393359948917163
6.439999999999951,stop sign,626,227,40,39,9.230769230769234,15.960724830627441,6.729955599858208,15.950770378112793,2.187789956983872,0.2,0.10714548532969508
6.45999999999995,stop sign,626,227,40,39,9.230769230769234,15.917839050292969,6.687069819523735,15.950770378112793,2.176259627817746,0.2,0.10239380541806148
6.47999999999995,stop sign,627,227,40,39,9.230769230769234,15.87474536895752,6.643976138188286,15.768821716308594,2.164665615460076,0.2,0.09906762947991797
6.499999999999949,stop sign,627,227,40,39,9.230769230769234,15.832306861877441,6.601537631108208,15.950770378112793,2.153129140119501,0.2,0.14844839351622974
6.519999999999949,stop sign,627,227,41,39,9.230769230769234,15.790046691894531,6.559277461125298,15.768821716308594,2.141715792837248,0.2,0.13130584114863575
6.5399999999999485,stop sign,628,227,41,39,9.230769230769234,15.747608184814453,6.51683895404522,15.649811744689941,2.13022708667567,0.2,0.11848103382042915
6.559999999999948,stop sign,628,227,41,40,9.000000000000004,15.705497741699219,6.705497741699215,15.829008102416992,2.119045611857843,0.2,0.10930303275084803
6.579999999999948,stop sign,628,227,41,39,9.230769230769234,15.664251327514648,6.433482096745415,15.649811744689941,2.1079199836538676,0.2,0.12984876560814596
6.599999999999947,stop sign,629,226,41,38,9.473684210526319,15.622943878173828,6.1492596676475095,15.649811744689941,2.096634109137806,0.2,0.16881258496992976
6.619999999999947,stop sign,629,226,41,39,9.230769230769234,15.58163833618164,6.350869105412407,15.590978622436523,2.0855487295316095,0.2,0.14453511855549844
6.639999999999946,stop sign,629,226,41,39,9.230769230769234,15.540719985961914,6.309950755192681,15.532585144042969,2.074408180116458,0.2,0.12714683309279942
6.659999999999946,stop sign,629,226,42,39,9.230769230769234,15.499771118164062,6.269001887394829,15.649811744689941,2.0635223684120363,0.2,0.14036786364076678
6.6799999999999455,stop sign,629,226,42,40,9.000000000000004,15.458971977233887,6.458971977233883,15.474627494812012,2.0526330116516283,0.2,0.12462381362508437
6.699999999999945,stop sign,629,226,41,39,9.230769230769234,15.419185638427734,6.188416407658501,15.41710090637207,2.041891422235962,0.2,0.11301507192565492
6.719999999999945,stop sign,630,226,42,41,8.780487804878051,15.37820816040039,6.597720355522339,15.41710090637207,2.031198574732482,0.2,0.1046972262004956
6.739999999999944,stop sign,630,226,42,41,8.780487804878051,15.338332176208496,6.557844371330445,15.303321838378906,2.0205655014718467,0.2,0.09887473419288408
6.759999999999944,stop sign,630,226,42,41,8.780487804878051,15.298694610595703,6.518206805717652,15.303321838378906,2.0100796090505533,0.2,0.09423653279230722
6.779999999999943,stop sign,631,226,43,41,8.780487804878051,15.25864028930664,6.478152484428589,15.24705982208252,1.9994233491720532,0.2,0.09098979181190342
6.799999999999943,stop sign,632,226,43,41,8.780487804878051,15.219062805175781,6.43857500029773,15.19120979309082,1.9891509454752623,0.2,0.08853382907607166
6.8199999999999426,stop sign,632,226,43,41,8.780487804878051,15.180051803588867,6.399563998710816,15.135766983032227,1.9786906639419146,0.2,0.08663353229173626
6.839999999999942,stop sign,632,226,43,41,8.780487804878051,15.141220092773438,6.360732287895386,15.19120979309082,1.9684911331883141,0.2,0.08512389817065025
6.859999999999942,stop sign,632,225,43,41,8.780487804878051,15.102893829345703,6.322406024467652,15.080727577209473,1.958117876486574,0.2,0.08424658065794127
6.879999999999941,stop sign,632,225,44,41,8.780487804878051,15.064299583435059,6.283811778557007,15.026087760925293,1.9480070866797363,0.2,0.08345303202699375
